outcome,date,age_group,unvaccinated_rate,vaccinated_rate,boosted_rate,crude_vaccinated_ratio,crude_boosted_ratio,age_adjusted_unvaccinated_rate,age_adjusted_vaccinated_rate,age_adjusted_boosted_rate,age_adjusted_vaccinated_ratio,age_adjusted_boosted_ratio,population_unvaccinated,population_vaccinated,population_boosted,outcome_unvaccinated,outcome_vaccinated,outcome_boosted,age_group_min,age_group_max
Deaths,2022-10-01,All,0.3,0.1,0.9,3.0,0.3,0.4,0.3,0.6,1.3,0.7,591822,842535.0,1037067.0,2,1.0,9.0,999,999
Deaths,2023-02-04,50-64,2.9,0.8,0.4,3.6,7.2,0.0,0.0,0.0,0.0,0.0,34169,125516.0,246849.0,1,1.0,1.0,50,64
Deaths,2022-09-10,05-Nov,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95349,82126.0,17689.0,0,0.0,0.0,5,11
Deaths,2022-04-09,18-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98229,219416.0,147442.0,0,0.0,0.0,18,29
Hospitalizations,2021-12-04,30-49,37.7,3.8,0.0,9.9,0.0,0.0,0.0,0.0,0.0,0.0,185523,469462.0,103054.0,70,18.0,0.0,30,49
Hospitalizations,2023-05-06,All,3.3,1.3,2.4,2.5,1.4,4.5,2.1,1.7,2.2,2.8,537432,860338.0,1040639.0,18,11.0,25.0,999,999
Hospitalizations,2021-12-04,All,34.9,9.6,3.6,3.6,9.7,50.7,9.2,1.6,5.5,32.1,864337,1287028.0,333146.0,302,123.0,12.0,999,999
Cases,2022-01-01,Dec-17,2547.5,1827.4,694.4,1.4,3.7,0.0,0.0,0.0,0.0,0.0,53465,108405.0,1872.0,1362,1981.0,13.0,12,17
Cases,2023-07-01,All,10.5,5.5,10.5,1.9,1.0,12.1,5.4,8.2,2.3,1.5,532370,860333.0,1040733.0,56,47.0,109.0,999,999
Hospitalizations,2022-06-04,50-64,30.4,6.8,5.1,4.5,6.0,0.0,0.0,0.0,0.0,0.0,42758,131758.0,237215.0,13,9.0,12.0,50,64
Deaths,2022-12-10,All,0.4,0.1,0.3,4.0,1.3,0.3,0.1,0.2,2.2,1.5,560620,851689.0,1039873.0,2,1.0,3.0,999,999
Hospitalizations,2022-12-03,Dec-17,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33965,86108.0,44513.0,0,1.0,0.0,12,17
Deaths,2023-08-12,05-Nov,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89770,82673.0,21260.0,0,0.0,0.0,5,11
Deaths,2023-03-04,30-49,0.0,0.4,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110600,277895.0,347260.0,0,1.0,1.0,30,49
Cases,2022-11-12,0-4,82.4,5.5,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,162642,0.0,0.0,134,9.0,0.0,0,4
Hospitalizations,2022-10-01,50-64,10.3,3.2,4.9,3.2,2.1,0.0,0.0,0.0,0.0,0.0,39014,125154.0,246575.0,4,4.0,12.0,50,64
Deaths,2022-07-09,0-4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162642,0.0,0.0,0,0.0,0.0,0,4
Deaths,2023-11-04,65-79,2.6,0.0,0.6,0.0,4.3,0.0,0.0,0.0,0.0,0.0,37857,44044.0,172280.0,1,0.0,1.0,65,79
Hospitalizations,2023-09-09,50-64,0.0,6.4,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32271,125723.0,246940.0,0,8.0,8.0,50,64
Cases,2021-10-09,65-79,92.7,41.3,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0,61521,191460.0,0.0,57,79.0,0.0,65,79
Hospitalizations,2022-04-02,65-79,8.3,9.7,1.3,0.9,6.4,0.0,0.0,0.0,0.0,0.0,48452,51564.0,159143.0,4,5.0,2.0,65,79
Cases,2021-05-01,All,200.5,20.6,0.0,9.7,0.0,215.3,16.0,0.0,13.5,0.0,1471355,709078.0,0.0,2950,146.0,0.0,999,999
Cases,2023-12-02,80+,83.7,102.9,143.5,0.8,0.6,0.0,0.0,0.0,0.0,0.0,23883,11658.0,47387.0,20,12.0,68.0,80,200
Deaths,2023-08-12,50-64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32441,125727.0,246935.0,0,0.0,0.0,50,64
Deaths,2021-09-11,18-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,185405,298401.0,0.0,0,0.0,0.0,18,29
Deaths,2022-02-05,50-64,28.7,5.7,0.5,5.0,57.4,0.0,0.0,0.0,0.0,0.0,48776,157818.0,201587.0,14,9.0,1.0,50,64
Cases,2023-08-05,50-64,67.7,13.5,27.5,5.0,2.5,0.0,0.0,0.0,0.0,0.0,32496,125728.0,246934.0,22,17.0,68.0,50,64
Cases,2023-03-04,65-79,127.4,108.3,115.3,1.2,1.1,0.0,0.0,0.0,0.0,0.0,40040,43409.0,171702.0,51,47.0,198.0,65,79
Hospitalizations,2021-12-04,50-64,112.1,12.9,3.8,8.7,29.5,0.0,0.0,0.0,0.0,0.0,64234,270486.0,79047.0,72,35.0,3.0,50,64
Hospitalizations,2022-11-05,05-Nov,1.1,1.2,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,93672,80665.0,21005.0,1,1.0,0.0,5,11
Cases,2023-08-05,30-49,34.4,15.1,23.9,2.3,1.4,0.0,0.0,0.0,0.0,0.0,107409,278402.0,347313.0,37,42.0,83.0,30,49
Cases,2021-10-09,All,143.6,52.3,0.0,2.7,0.0,161.0,42.2,0.0,3.8,0.0,998664,1519169.0,0.0,1434,794.0,0.0,999,999
Deaths,2022-04-09,30-49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132219,289629.0,326607.0,0,0.0,0.0,30,49
Hospitalizations,2022-07-02,50-64,31.0,10.0,7.5,3.1,4.1,0.0,0.0,0.0,0.0,0.0,41916,129677.0,240221.0,13,13.0,18.0,50,64
Hospitalizations,2021-09-11,80+,60.8,22.6,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,31257,53008.0,0.0,19,12.0,0.0,80,200
Cases,2021-10-09,Dec-17,229.4,17.7,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,67139,95783.0,0.0,154,17.0,0.0,12,17
Deaths,2021-10-09,Dec-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67139,95783.0,0.0,0,0.0,0.0,12,17
Hospitalizations,2023-06-03,50-64,6.1,0.8,0.8,7.6,7.6,0.0,0.0,0.0,0.0,0.0,32855,125745.0,246913.0,2,1.0,2.0,50,64
Cases,2021-04-10,Dec-17,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177522,0.0,0.0,355,0.0,0.0,12,17
Cases,2021-08-07,18-29,250.0,102.2,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,206013,282729.0,0.0,515,289.0,0.0,18,29
Cases,2022-11-05,65-79,175.0,131.6,120.7,1.3,1.4,0.0,0.0,0.0,0.0,0.0,42281,43326.0,171562.0,74,57.0,207.0,65,79
Cases,2023-07-08,80+,4.1,17.6,33.9,0.2,0.1,0.0,0.0,0.0,0.0,0.0,24498,11383.0,47130.0,1,2.0,16.0,80,200
Cases,2022-05-07,0-4,178.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162642,0.0,0.0,290,0.0,0.0,0,4
Deaths,2022-01-08,18-29,0.8,0.4,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,128651,256042.0,83774.0,1,1.0,0.0,18,29
Hospitalizations,2023-02-04,50-64,14.6,6.4,8.5,2.3,1.7,0.0,0.0,0.0,0.0,0.0,34169,125516.0,246849.0,5,8.0,21.0,50,64
Deaths,2023-01-07,30-49,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112744,277305.0,347207.0,0,0.0,1.0,30,49
Hospitalizations,2023-08-05,18-29,1.4,0.5,0.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,73686,214134.0,161713.0,1,1.0,0.0,18,29
Hospitalizations,2022-09-10,0-4,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162642,0.0,0.0,6,0.0,0.0,0,4
Deaths,2022-10-01,05-Nov,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94700,81441.0,19254.0,0,0.0,0.0,5,11
Hospitalizations,2021-11-06,30-49,13.5,1.1,0.0,12.3,0.0,0.0,0.0,0.0,0.0,0.0,199928,527699.0,31898.0,27,6.0,0.0,30,49
Cases,2021-10-02,All,158.9,56.5,0.0,2.8,0.0,179.5,45.8,0.0,3.9,0.0,1009399,1510653.0,0.0,1604,853.0,0.0,999,999
Cases,2022-01-08,30-49,2614.0,1690.1,1349.3,1.5,1.9,0.0,0.0,0.0,0.0,0.0,161589,361224.0,223160.0,4224,6105.0,3011.0,30,49
Deaths,2021-07-03,50-64,1.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109144,300501.0,0.0,2,0.0,0.0,50,64
Hospitalizations,2021-10-09,Dec-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67139,95783.0,0.0,0,0.0,0.0,12,17
Deaths,2022-05-07,65-79,2.1,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,47611,49260.0,162746.0,1,1.0,0.0,65,79
Deaths,2022-01-08,50-64,43.8,7.2,0.6,6.1,73.0,0.0,0.0,0.0,0.0,0.0,54811,194317.0,160841.0,24,14.0,1.0,50,64
Deaths,2022-11-05,80+,4.0,8.8,2.1,0.5,1.9,0.0,0.0,0.0,0.0,0.0,25236,11367.0,47086.0,1,1.0,1.0,80,200
Hospitalizations,2022-02-05,18-29,6.5,2.2,0.8,3.0,8.1,0.0,0.0,0.0,0.0,0.0,108394,225478.0,122651.0,7,5.0,1.0,18,29
Deaths,2023-04-08,65-79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39837,43431.0,171716.0,0,0.0,0.0,65,79
Hospitalizations,2022-01-01,05-Nov,6.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138684,43394.0,0.0,9,0.0,0.0,5,11
Cases,2022-07-09,05-Nov,81.8,107.7,115.4,0.8,0.7,0.0,0.0,0.0,0.0,0.0,98989,89156.0,7798.0,81,96.0,9.0,5,11
Deaths,2023-03-11,All,0.2,0.2,0.0,1.0,0.0,0.1,0.2,0.0,0.6,0.0,543537,858035.0,1040472.0,1,2.0,0.0,999,999
Hospitalizations,2021-12-11,Dec-17,8.7,0.9,0.0,9.7,0.0,0.0,0.0,0.0,0.0,0.0,57433,105995.0,469.0,5,1.0,0.0,12,17
Hospitalizations,2023-06-10,80+,8.2,0.0,8.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,24522,11383.0,47130.0,2,0.0,4.0,80,200
Cases,2021-05-01,18-29,241.2,21.3,0.0,11.3,0.0,0.0,0.0,0.0,0.0,0.0,284798,107854.0,0.0,687,23.0,0.0,18,29
Deaths,2021-10-02,All,3.0,0.3,0.0,10.0,0.0,4.2,0.3,0.0,16.2,0.0,1009399,1510653.0,0.0,30,5.0,0.0,999,999
Deaths,2022-07-09,80+,7.6,8.3,4.3,0.9,1.8,0.0,0.0,0.0,0.0,0.0,26425,12088.0,46042.0,2,1.0,2.0,80,200
Cases,2022-02-12,Dec-17,172.3,84.5,36.7,2.0,4.7,0.0,0.0,0.0,0.0,0.0,41212,95886.0,21795.0,71,81.0,8.0,12,17
Hospitalizations,2021-12-11,All,37.1,10.3,2.9,3.6,12.8,55.2,10.6,1.5,5.2,37.8,847199,1247588.0,380994.0,314,129.0,11.0,999,999
Hospitalizations,2021-10-09,80+,32.8,15.3,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,30481,52266.0,0.0,10,8.0,0.0,80,200
Hospitalizations,2023-11-04,05-Nov,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88776,82330.0,21744.0,0,0.0,0.0,5,11
Cases,2023-04-08,80+,28.4,96.6,106.1,0.3,0.3,0.0,0.0,0.0,0.0,0.0,24622,11383.0,47126.0,7,11.0,50.0,80,200
Hospitalizations,2022-06-11,05-Nov,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100172,93140.0,2658.0,0,0.0,0.0,5,11
Cases,2022-03-05,Dec-17,79.1,21.9,18.2,3.6,4.3,0.0,0.0,0.0,0.0,0.0,39213,95932.0,27517.0,31,21.0,5.0,12,17
Cases,2022-03-05,50-64,71.2,26.4,31.4,2.7,2.3,0.0,0.0,0.0,0.0,0.0,46352,143917.0,219986.0,33,38.0,69.0,50,64
Cases,2022-03-12,18-29,58.7,19.5,56.3,3.0,1.0,0.0,0.0,0.0,0.0,0.0,100487,221043.0,142046.0,59,43.0,80.0,18,29
Hospitalizations,2021-10-02,30-49,17.4,0.6,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,218778,533019.0,0.0,38,3.0,0.0,30,49
Deaths,2023-04-08,Dec-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32887,86505.0,44571.0,0,0.0,0.0,12,17
Hospitalizations,2022-07-02,18-29,5.3,4.2,1.3,1.3,4.1,0.0,0.0,0.0,0.0,0.0,93769,214617.0,155854.0,5,9.0,2.0,18,29
Cases,2022-09-10,All,167.8,88.8,134.1,1.9,1.3,202.3,88.2,121.5,2.3,1.7,602393,841160.0,1033881.0,1011,747.0,1386.0,999,999
Cases,2022-06-11,18-29,329.7,139.6,302.8,2.4,1.1,0.0,0.0,0.0,0.0,0.0,94634,215581.0,154206.0,312,301.0,467.0,18,29
Cases,2022-06-04,18-29,390.5,144.0,341.8,2.7,1.1,0.0,0.0,0.0,0.0,0.0,94995,215928.0,153584.0,371,311.0,525.0,18,29
Cases,2022-08-06,05-Nov,111.1,117.2,118.2,0.9,0.9,0.0,0.0,0.0,0.0,0.0,97222,86190.0,11845.0,108,101.0,14.0,5,11
Cases,2022-01-08,50-64,3690.9,1569.6,1102.3,2.4,3.3,0.0,0.0,0.0,0.0,0.0,54811,194317.0,160841.0,2023,3050.0,1773.0,50,64
Cases,2022-12-03,0-4,129.1,3.7,0.0,34.9,0.0,0.0,0.0,0.0,0.0,0.0,162642,0.0,0.0,210,6.0,0.0,0,4
Hospitalizations,2021-09-11,65-79,35.6,9.3,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,64570,194208.0,0.0,23,18.0,0.0,65,79
Hospitalizations,2021-06-12,30-49,8.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300339,438852.0,0.0,26,0.0,0.0,30,49
Hospitalizations,2022-03-05,80+,18.4,20.6,11.8,0.9,1.6,0.0,0.0,0.0,0.0,0.0,27168,14574.0,42437.0,5,3.0,5.0,80,200
Hospitalizations,2023-02-11,Dec-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33305,86332.0,44556.0,0,0.0,0.0,12,17
Hospitalizations,2021-12-11,0-4,3.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162642,0.0,0.0,5,0.0,0.0,0,4
Hospitalizations,2023-08-05,05-Nov,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89877,82672.0,21260.0,0,0.0,0.0,5,11
Cases,2021-09-11,30-49,238.1,78.9,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,232678,520775.0,0.0,554,411.0,0.0,30,49
Hospitalizations,2022-10-08,80+,38.9,70.3,42.5,0.6,0.9,0.0,0.0,0.0,0.0,0.0,25733,11377.0,47048.0,10,8.0,20.0,80,200
Cases,2022-03-05,80+,25.8,41.2,33.0,0.6,0.8,0.0,0.0,0.0,0.0,0.0,27168,14574.0,42437.0,7,6.0,14.0,80,200
Deaths,2022-09-03,05-Nov,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95528,82574.0,16920.0,0,0.0,0.0,5,11
Hospitalizations,2022-11-12,30-49,13.7,2.2,2.9,6.2,4.7,0.0,0.0,0.0,0.0,0.0,116651,276645.0,347072.0,16,6.0,10.0,30,49
